club,clubLabel,venue,venueLabel,coordinates,countryLabel
http://www.wikidata.org/entity/Q13391,U.S. Lecce,http://www.wikidata.org/entity/Q684727,Stadio Via del Mare,Point(18.208889 40.365278),Italy
http://www.wikidata.org/entity/Q15755,FC Augsburg,http://www.wikidata.org/entity/Q167418,WWK Arena,Point(10.8859261 48.3233205),Germany
http://www.wikidata.org/entity/Q15786,1. FC Nürnberg,http://www.wikidata.org/entity/Q152599,Max Morlock Stadium,Point(11.125617009 49.426240624),Germany
http://www.wikidata.org/entity/Q18529,Wrexham A.F.C.,http://www.wikidata.org/entity/Q1202579,Racecourse Ground,Point(-3.003611 53.051944),United Kingdom
http://www.wikidata.org/entity/Q18656,Manchester United F.C.,http://www.wikidata.org/entity/Q83457,Old Trafford,Point(-2.291388888 53.463055555),United Kingdom
http://www.wikidata.org/entity/Q15789,FC Bayern Munich,http://www.wikidata.org/entity/Q127429,Allianz Arena,Point(11.624752777 48.218775),Germany
http://www.wikidata.org/entity/Q16334,A.S. Casale Calcio,http://www.wikidata.org/entity/Q2326020,Stadio Natale Palli,Point(8.4451282 45.13130153),Italy
http://www.wikidata.org/entity/Q16339,U.S.D. Novese,http://www.wikidata.org/entity/Q3967767,Stadio Costante Girardengo,Point(8.7827971 44.7682128),Italy
http://www.wikidata.org/entity/Q16344,A.C. Perugia Calcio,http://www.wikidata.org/entity/Q94619,Stadio Renato Curi,Point(12.357222 43.106111),Italy
http://www.wikidata.org/entity/Q16348,U.S. Alessandria Calcio 1912,http://www.wikidata.org/entity/Q2484922,Stadio Giuseppe Moccagatta,Point(8.616580555 44.9203),Italy
http://www.wikidata.org/entity/Q16932,Kashima Antlers,http://www.wikidata.org/entity/Q494769,Kashima Soccer Stadium,Point(140.640525 35.991744),Japan
http://www.wikidata.org/entity/Q18716,Newcastle United F.C.,http://www.wikidata.org/entity/Q191774,St James’ Park,Point(-1.621666666 54.975555555),United Kingdom
