club,clubLabel,venue,venueLabel,coordinates,countryLabel
http://www.wikidata.org/entity/Q64884,Orange County SC,http://www.wikidata.org/entity/Q58215304,Championship Soccer Stadium,Point(-117.739335 33.67446),United States of America
http://www.wikidata.org/entity/Q111516,Phoenix Rising FC,http://www.wikidata.org/entity/Q7438198,Scottsdale Stadium,Point(-111.921111 33.488333),United States of America
http://www.wikidata.org/entity/Q111516,Phoenix Rising FC,http://www.wikidata.org/entity/Q12065608,Peoria Sports Complex,Point(-112.2332 33.6319),United States of America
http://www.wikidata.org/entity/Q111516,Phoenix Rising FC,http://www.wikidata.org/entity/Q29098113,Casino Arizona Field,Point(-111.90555556 33.4375),United States of America
http://www.wikidata.org/entity/Q111516,Phoenix Rising FC,http://www.wikidata.org/entity/Q106506352,Phoenix Rising Soccer Complex at Wild Horse Pass,Point(-111.978472222 33.270111111),United States of America
http://www.wikidata.org/entity/Q646135,New York Cosmos,http://www.wikidata.org/entity/Q375365,Giants Stadium,Point(-74.074433 40.813726),United States of America
http://www.wikidata.org/entity/Q1978470,Maccabi Los Angeles,http://www.wikidata.org/entity/Q3157405,Jackie Robinson Stadium,Point(-118.459306 34.059194),United States of America
http://www.wikidata.org/entity/Q670603,Chicago Sting,http://www.wikidata.org/entity/Q1132413,Soldier Field,Point(-87.616666666 41.8625),United States of America
http://www.wikidata.org/entity/Q1972199,Tampa Bay Rowdies,http://www.wikidata.org/entity/Q2095984,Tampa Stadium,Point(-82.503611111 27.978888888),United States of America
http://www.wikidata.org/entity/Q1942096,St. Louis Stars,http://www.wikidata.org/entity/Q1017286,Busch Memorial Stadium,Point(-90.1925 38.623888888),United States of America
http://www.wikidata.org/entity/Q1344827,Puerto Rico United,http://www.wikidata.org/entity/Q4694468,Aguada Stadium,Point(-67.197 18.378),United States of America
http://www.wikidata.org/entity/Q689874,Philadelphia Union,http://www.wikidata.org/entity/Q1637843,Subaru Park,Point(-75.378889 39.832222),United States of America
http://www.wikidata.org/entity/Q693512,Oakland Clippers,http://www.wikidata.org/entity/Q1147732,Oakland Coliseum,Point(-122.200555555 37.751666666),United States of America
http://www.wikidata.org/entity/Q1071986,Chicago Red Stars,http://www.wikidata.org/entity/Q999781,SeatGeek Stadium,Point(-87.806111111 41.764722222),United States of America
http://www.wikidata.org/entity/Q1393746,Orlando City SC,http://www.wikidata.org/entity/Q3046174,ESPN Wide World of Sports Complex,Point(-81.556 28.33708333),United States of America
http://www.wikidata.org/entity/Q1066683,Charleston Battery,http://www.wikidata.org/entity/Q2682757,Blackbaud Stadium,Point(-79.919766666 32.870888888),United States of America
http://www.wikidata.org/entity/Q1067178,Charlotte Eagles,http://www.wikidata.org/entity/Q6791495,Sportsplex at Matthews,Point(-80.6992 35.1106),United States of America
http://www.wikidata.org/entity/Q1563972,Los Angeles Lazers,http://www.wikidata.org/entity/Q639129,Kia Forum,Point(-118.342 33.95821),United States of America
http://www.wikidata.org/entity/Q201675,Wilmington Hammerheads FC,http://www.wikidata.org/entity/Q14708017,Legion Stadium,Point(-77.9381 34.2019),United States of America
http://www.wikidata.org/entity/Q1133753,Detroit Express,http://www.wikidata.org/entity/Q211662,Pontiac Silverdome,Point(-83.255 42.645833333),United States of America
http://www.wikidata.org/entity/Q1118392,Team America,http://www.wikidata.org/entity/Q153312,Robert F. Kennedy Memorial Stadium,Point(-76.971666666 38.889722222),United States of America
http://www.wikidata.org/entity/Q1190526,Washington Diplomats,http://www.wikidata.org/entity/Q153312,Robert F. Kennedy Memorial Stadium,Point(-76.971666666 38.889722222),United States of America
http://www.wikidata.org/entity/Q2225911,Colorado Caribous,http://www.wikidata.org/entity/Q1934586,Mile High Stadium,Point(-105.021666666 39.746111111),United States of America
http://www.wikidata.org/entity/Q204220,New York Red Bulls,http://www.wikidata.org/entity/Q761682,Red Bull Arena,Point(-74.150277777 40.736666666),United States of America
http://www.wikidata.org/entity/Q2273722,Tulsa Roughnecks,http://www.wikidata.org/entity/Q3486226,Skelly Field at H. A. Chapman Stadium,Point(-95.943888888 36.148611111),United States of America
http://www.wikidata.org/entity/Q2197684,San Diego Jaws,http://www.wikidata.org/entity/Q8210904,Aztec Bowl,Point(-117.074546 32.773811),United States of America
http://www.wikidata.org/entity/Q2197684,San Diego Jaws,http://www.wikidata.org/entity/Q8210904,Aztec Bowl,Point(-117.071111 32.775833),United States of America
http://www.wikidata.org/entity/Q1544590,Green Buffaloes F.C.,http://www.wikidata.org/entity/Q3150014,Independence Stadium,Point(-93.791944444 32.475555555),United States of America
http://www.wikidata.org/entity/Q1552687,Guam Shipyard,http://www.wikidata.org/entity/Q371013,Guam National Football Stadium,Point(144.77916667 13.50055556),United States of America
http://www.wikidata.org/entity/Q2190741,Baltimore Comets,http://www.wikidata.org/entity/Q2748739,Memorial Stadium,Point(-76.601388888 39.329444444),United States of America
http://www.wikidata.org/entity/Q2297160,Houston Hurricane,http://www.wikidata.org/entity/Q1025406,Astrodome,Point(-95.407777777 29.685),United States of America
http://www.wikidata.org/entity/Q615992,Mochudi Centre Chiefs,http://www.wikidata.org/entity/Q7894992,University at Buffalo Stadium,Point(-78.7775 42.999167),United States of America
http://www.wikidata.org/entity/Q204357,LA Galaxy,http://www.wikidata.org/entity/Q200684,Dignity Health Sports Park,Point(-118.261111111 33.864444444),United States of America
http://www.wikidata.org/entity/Q632511,Seattle Sounders FC,http://www.wikidata.org/entity/Q612736,Lumen Field,Point(-122.331666666 47.595277777),United States of America
http://www.wikidata.org/entity/Q289755,AC St. Louis,http://www.wikidata.org/entity/Q370446,World Wide Technology Soccer Park,Point(-90.438611 38.546667),United States of America
http://www.wikidata.org/entity/Q967344,Richmond Kickers Future,http://www.wikidata.org/entity/Q7579690,Sports Backers Stadium,Point(-77.4624 37.5699),United States of America
http://www.wikidata.org/entity/Q967345,San Francisco Bay Blackhawks,http://www.wikidata.org/entity/Q2165358,CEFCU Stadium,Point(-121.868333333 37.319722222),United States of America
http://www.wikidata.org/entity/Q2313851,Fort Lauderdale Strikers,http://www.wikidata.org/entity/Q1867553,Lockhart Stadium,Point(-80.161111111 26.193055555),United States of America
http://www.wikidata.org/entity/Q2280846,North Carolina Fusion U23,http://www.wikidata.org/entity/Q6724952,Macpherson Stadium,Point(-79.745 36.166667),United States of America
http://www.wikidata.org/entity/Q972741,Fort Lauderdale Strikers,http://www.wikidata.org/entity/Q1867553,Lockhart Stadium,Point(-80.161111111 26.193055555),United States of America
http://www.wikidata.org/entity/Q278416,Los Angeles Wolves,http://www.wikidata.org/entity/Q849784,Los Angeles Memorial Coliseum,Point(-118.287778 34.014167),United States of America
http://www.wikidata.org/entity/Q279311,Fall River Marksmen,http://www.wikidata.org/entity/Q6766374,Mark's Stadium,Point(-71.180061 41.6706),United States of America
http://www.wikidata.org/entity/Q281705,New York Pancyprian-Freedoms,http://www.wikidata.org/entity/Q4884689,Belson Stadium,Point(-73.792838 40.724307),United States of America
http://www.wikidata.org/entity/Q642291,FC Dallas,http://www.wikidata.org/entity/Q1140457,Toyota Stadium,Point(-96.835158333 33.154458333),United States of America
http://www.wikidata.org/entity/Q642408,Colorado Rapids,http://www.wikidata.org/entity/Q1210268,Dick's Sporting Goods Park,Point(-104.891944444 39.805555555),United States of America
http://www.wikidata.org/entity/Q642433,Chivas USA,http://www.wikidata.org/entity/Q200684,Dignity Health Sports Park,Point(-118.261111111 33.864444444),United States of America
http://www.wikidata.org/entity/Q2511604,Washington Whips,http://www.wikidata.org/entity/Q153312,Robert F. Kennedy Memorial Stadium,Point(-76.971666666 38.889722222),United States of America
http://www.wikidata.org/entity/Q2515602,Tornados,http://www.wikidata.org/entity/Q1140457,Toyota Stadium,Point(-96.835158333 33.154458333),United States of America
http://www.wikidata.org/entity/Q2017456,San Diego Sockers,http://www.wikidata.org/entity/Q956072,San Diego Stadium,Point(-117.119444444 32.783055555),United States of America
http://www.wikidata.org/entity/Q3493559,Pittsburgh Spirit,http://www.wikidata.org/entity/Q1237181,Civic Arena,Point(-79.99 40.441666666),United States of America
http://www.wikidata.org/entity/Q3480842,Sevilla FC Puerto Rico,http://www.wikidata.org/entity/Q1171030,Juan Ramón Loubriel Stadium,Point(-66.150833 18.393333),United States of America
http://www.wikidata.org/entity/Q3481510,Orlando Sharks,http://www.wikidata.org/entity/Q481794,Amway Arena,Point(-81.386666666 28.548888888),United States of America
http://www.wikidata.org/entity/Q3484924,Rochester Flash,http://www.wikidata.org/entity/Q5881204,Holleder Memorial Stadium,Point(-77.6575 43.19201),United States of America
